ingresos,egresos,activos,pasivos,vol_trans,a_econ,edad,anos_afil,genero,estado_civil,ocupacion,nivel_estudio,tipo_vivienda,estrato,num_hijos,personas_cargo,special_test_1
4000000,900000,0,0,1200000,A4,49,3.1,F,SOLTERO,INDEPENDIENTE,DOCTORADO,FAMILIAR,E3,2,2,2.009746102
5275502,1300000,280000000,30000000,1582650,A2,51,19,F,CASADO,EMPLEADO,MASTER,PROPIA,E4,2,1,3.010537853
3170000,600000,117000000,1000000,951000,A4,49,11.7,F,SOLTERO,INDEPENDIENTE,UNIVERSITARIO,PROPIA,E3,1,0,1.065394645
2000000,300000,0,0,600000,A2,51,4.1,F,CASADO,EMPLEADO,TECN-TECNOL,FAMILIAR,E4,1,1,0.07777598568
4713000,1400000,756500000,87000000,1413900,A2,47,6.2,F,CASADO,EMPLEADO,UNIVERSITARIO,PROPIA,E5,2,1,3.04061106
2769000,1200000,0,0,830700,A2,46,7.3,F,CASADO,EMPLEADO,ESPECIALIZACION,PROPIA,E3,1,1,1.024605613
3850000,1078000,260000000,4518000,1155000,A6,46,0.9,F,SOLTERO,PENSIONADO,UNIVERSITARIO,PROPIA,E3,2,0,2.091904472
21030000,3500000,139000000,30000000,6309000,A2,45,8.1,F,CASADO,EMPLEADO,ESPECIALIZACION,FAMILIAR,E3,1,1,3.043936535
2800000,1300000,256000000,12000000,840000,A4,45,7,M,CASADO,INDEPENDIENTE,TECN-TECNOL,PROPIA,E3,2,1,3.091285585
2577400,500000,178000000,3600000,773220,A2,45,5.9,F,SOLTERO,EMPLEADO,MASTER,PROPIA,E4,0,0,3.057863039
3120859,600000,193000000,10,936257,A2,44,0.8,F,DIVORCIADO,EMPLEADO,ESPECIALIZACION,FAMILIAR,E3,2,2,0.051605391
3505000,800000,86000000,200000,1051500,A2,44,1.3,F,SOLTERO,EMPLEADO,ESPECIALIZACION,FAMILIAR,E3,2,2,3.076039857
6209000,2047000,400000000,56000000,1862700,A2,43,6.7,F,CASADO,EMPLEADO,ESPECIALIZACION,PROPIA,E4,2,2,1.049579241
1800000,470000,222400000,1300000,540000,A2,43,4.5,F,SOLTERO,EMPLEADO,UNIVERSITARIO,FAMILIAR,E4,0,0,2.097106312
3036730,1100000,45000000,40000000,911019,A2,42,0.5,F,CASADO,EMPLEADO,UNIVERSITARIO,FAMILIAR,E3,0,0,3.087636987
6994473,3750000,395000000,60000000,2098341,A2,45,3.6,F,SOLTERO,EMPLEADO,ESPECIALIZACION,PROPIA,E3,1,1,2.095520106
2533000,200000,49000000,20000000,759900,A2,40,9.9,F,SOLTERO,EMPLEADO,UNIVERSITARIO,FAMILIAR,E3,1,0,2.045212615
3161780,755000,170000000,3000000,948534,A2,41,0.5,F,SOLTERO,EMPLEADO,UNIVERSITARIO,FAMILIAR,E3,3,1,3.072197369
1644350,350000,1600000,350000,493305,A4,39,0.5,F,SOLTERO,INDEPENDIENTE,UNIVERSITARIO,FAMILIAR,E4,0,0,2.057684432
2980000,300000,40000000,0,894000,A2,39,1.7,F,SOLTERO,EMPLEADO,DOCTORADO,FAMILIAR,E3,0,2,1.01151569
